task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,expert_confidence_confirmation,,billing,1,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,2265.5120893553385,3227.984718451966,1138.167749922808,1.7761012972041097,-1.070589956218278,-0.5207263767266188,-1.0705899562182775,-1.6497338390579794,0.8990384615384616,9542.04392183744,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,1,natural,8,27,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.543269230769231,2.610576923076923,0.6066451930422517,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35581770348695985,0.3684737534857577,0.6,0.9038461538461539,0.3911764705882353,0.9779411764705882,0.9838709677419355,3.0070994239220394,0.2664656281673008,0.20787807461253502,0.27461663621880816,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,1,natural,8,27,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1234.4918455731504,1903.623373315427,624.5648039773932,0.9678088140038471,-0.12827754417522774,0.10318959733416389,-0.12827754417522774,0.0784872063552291,0.9855769230769231,7727.08996464656,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,1,natural,16,61,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,8.0625,2.875,0.6600627505249093,0.8701923076923077,0.5228506787330317,0.46983408748114636,0.474860294117647,0.4860722394220846,0.4,0.9711538461538461,0.721681749622926,0.9021021870286576,0.7300210949764522,1.4694814226586284,0.3011799423930256,0.2834124229348757,0.1272493808949537,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,1,natural,16,61,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,934.8664957747628,1631.108824495979,452.52837763866,0.7329104989815771,0.14556837473905515,0.23157312407843877,0.14556837473905526,0.32344176199944386,0.9711538461538461,5638.578535813552,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,1,natural,32,126,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,16.16826923076923,2.894230769230769,0.6916607489043199,0.8894230769230769,0.5074660633484163,0.4527400703871292,0.4795493636050911,0.47890313567410087,0.4,0.9807692307692307,0.9,1.0,0.5638511814982403,1.1238558702351389,0.2588030049045145,0.2536008201589356,0.05734294188311335,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,1,natural,32,126,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,829.6701197668517,1670.812750491973,368.87191781562433,0.6504393346180322,0.24171377189494647,0.2128683244006182,0.24171377189494647,0.2901037638158417,0.9711538461538461,5368.591064453125,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,1,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,34.04807692307692,2.923076923076923,0.7048842247326375,0.8990384615384616,0.6598763197586727,0.6220847997318585,0.6458147512864494,0.6212715284635808,0.2,0.9807692307692307,0.8666666666666668,0.9629629629629629,0.7517144293614881,1.0583676896200338,0.2252972044617083,0.2151846999228135,0.025854551561162474,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,1,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,825.9667986305142,1768.6804820797036,312.60768584759126,0.6475360292218186,0.24509846341152686,0.1667621455190662,0.24509846341152686,0.20450385670696503,0.9375,3413.11752143273,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,1,natural,128,500,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,69.35576923076923,2.9423076923076925,0.7150523705964731,0.9134615384615384,0.6646274509803921,0.6273638344226579,0.659069825614637,0.6349455997228433,0.2,0.9807692307692307,0.8166666666666668,0.9074074074074073,0.8125490196078431,0.9724390128147815,0.19537327051214698,0.19131580705374207,0.02267494045455207,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,1,natural,128,500,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,828.3732393658622,1766.6530112948728,380.06211949562567,0.6494226148338657,0.2428990701528203,0.16771730131113372,0.24289907015282042,0.20632659494525563,0.9086538461538461,3575.8272276658276,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,2,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8605769230769231,0.3776018099547511,0.30844645550527905,0.35081095331214246,0.361358454759927,0.6,0.9038461538461539,0.4,1.0,0.9440045248868778,3.13976922633496,0.31243893393702366,0.2382795625008349,0.23781816812114887,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,2,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1303.7507842804357,1773.2918828590143,1244.0813244103533,1.0221059821624123,-0.19157752104997017,0.16458968207502656,-0.19157752104996995,0.20035032673248188,0.1346153846153846,812.1221835796649,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,2,natural,2,7,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.1971153846153846,2.610576923076923,0.48124999999999996,0.8653846153846154,0.37952488687782804,0.3105832076420312,0.3524929620097743,0.36340504239385824,0.6,0.9038461538461539,0.4,1.0,0.9488122171945701,3.0969599429572696,0.2993488717632152,0.22807579632690234,0.25743480264294866,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,2,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,899.2286196697854,1776.3569522805653,456.5324397697932,0.7049713507964703,0.17814000773568828,0.16314570624416014,0.17814000773568828,0.197583607952735,0.8125,1877.6016106238733,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,2,natural,4,13,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.9038461538461537,2.610576923076923,0.5210622710622709,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3568130738573302,0.3688684313205143,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.0967201820964716,0.30824002316458726,0.264641428622244,0.24375521382578189,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,2,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,951.1972041916272,1847.7027625740375,492.577777331569,0.7457133405729934,0.130642742258537,0.1295341916164675,0.130642742258537,0.131832491475261,0.8317307692307693,2001.5613288879395,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,2,natural,8,35,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9326923076923077,4.480769230769231,2.730769230769231,0.6185897435897437,0.875,0.38540723981900454,0.31711915535444946,0.3502310128954865,0.36617438613466413,0.6,0.9326923076923077,0.4833333333333333,0.9666666666666666,0.770814479638009,2.2587979488503453,0.2401132645918927,0.17156278786019646,0.07547097562559721,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,2,natural,8,35,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,933.1880681878006,1747.5141526037617,556.1343440729702,0.7315946563389916,0.14710239228861166,0.1767337526795819,0.14710239228861177,0.2234298103019584,0.9278846153846154,3217.6906233567456,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,2,natural,16,64,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,7.951923076923077,2.8173076923076925,0.6667753665432711,0.875,0.5015429864253393,0.4461588738059326,0.4823906485671191,0.48471599362593976,0.4,0.9615384615384616,0.525,0.75,0.8236328377504848,1.5737285980863633,0.24981217962715288,0.23791999491766153,0.08712709890463258,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,2,natural,16,64,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,876.99818830347,1731.153201741646,492.2449828484164,0.6875432831323711,0.1984577575838431,0.18444151206955806,0.1984577575838432,0.2379028833396789,0.9182692307692307,2950.0364602895884,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,2,natural,32,127,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,16.153846153846153,2.9038461538461537,0.684445285207259,0.8605769230769231,0.5168144796380091,0.46312719959778786,0.4575533498759305,0.4781338905332714,0.4,0.9807692307692307,0.7118024132730015,0.790891570303335,0.6346196505020035,1.1276456387082456,0.2514428899336518,0.234577438169222,0.04104206278986054,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,2,natural,32,127,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,861.7870304964902,1629.916195292978,484.47530056602534,0.675618139479467,0.21236016434016547,0.23213498011086997,0.21236016434016558,0.3244307678988465,0.9519230769230769,4179.046846829928,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,2,natural,64,251,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,33.09615384615385,2.923076923076923,0.7003139614676783,0.8846153846153846,0.6530889894419306,0.6145433216021451,0.6347426470588236,0.6116327095710306,0.2,0.9807692307692307,0.7912895927601811,0.8792106586224233,0.8273163002574767,1.0748859696829123,0.2257597106914463,0.18414821479729937,0.05401205081728844,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,2,natural,64,251,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,853.87049407163,1724.535501161749,470.7334621194241,0.669411785216507,0.21959557080141112,0.18755915750561036,0.21959557080141112,0.24371830270874906,0.9375,3831.9856174175557,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,2,natural,128,529,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,69.23557692307692,2.9423076923076925,0.7192565843935077,0.9182692307692307,0.6685867269984918,0.6317630299983242,0.6422039072039072,0.6413507989594947,0.2,0.9807692307692307,0.7333333333333333,0.8148148148148148,0.8725037707390649,0.9506186054553033,0.19199412487478965,0.17800349949608135,0.029251730594927368,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,2,natural,128,529,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,863.7083373277178,1703.4656752135459,426.4474939288534,0.6771243929977352,0.21060416460560416,0.1974853011733032,0.21060416460560416,0.2620854294246513,0.9423076923076923,4088.332693246695,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,3,natural,1,1,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.15384615384615385,0.15384615384615385,0.4423076923076923,0.07692307692307693,0.009615384615384616,0.1,0.0,0.0009615384615384616,0.001904761904761905,0.9,0.009615384615384616,0.1,1.0,1.0,27.36533822058308,1.9807692307692308,0.9903846153846154,0.975051523329898,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,3,natural,1,1,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1187.7736421635623,2301.6511745488165,411.2676847406692,0.9311829835486999,-0.08557892287588964,-0.08432410821286629,-0.08557892287588964,-0.34715734074418125,0.0,0.0004730224609375,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,3,natural,2,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.206730769230769,0.4519230769230769,0.7019230769230769,0.33269230769230773,0.25854700854700857,0.26849217638691325,0.27544277944277945,0.6,0.75,0.4,1.0,0.8317307692307693,7.273743217674995,0.544840392784271,0.1313981551550104,0.5140362065654535,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,3,natural,2,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1173.2059186465083,2295.346691339452,404.82656483310166,0.9197622752869695,-0.07226459004089691,-0.08135402169005634,-0.07226459004089669,-0.33978741509661603,0.2403846153846154,125.14565541194035,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,3,natural,4,10,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.4038461538461537,2.206730769230769,0.5590659340659339,0.7451923076923077,0.35,0.27777777777777773,0.2735181521337001,0.28863678804855275,0.6,0.75,0.4,1.0,0.875,7.188288579649231,0.5055387552875932,0.13618090366403032,0.49819540770196047,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,3,natural,4,10,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1132.0983718794273,2254.822058353427,280.77950019540185,0.8875350505985916,-0.034693890744866396,-0.06226258115852623,-0.034693890744866396,-0.29289680260104367,0.6153846153846154,739.5188171680157,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,3,natural,8,26,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.466346153846154,2.610576923076923,0.610320929070929,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35581770348695985,0.3684737534857577,0.6,0.9134615384615384,0.45,0.9,0.7705882352941177,2.925716122818277,0.3068523606796618,0.2693361869406242,0.2605896861330012,,,,,,,,,,,,,
