task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,example_selector_screen,,helpdesk,0,natural,4,9,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.25179725277148757,0.3048405755966223,0.22710105936835134,0.30930064576345234,-0.010468027190790874,0.006122659166835742,-0.010468027190791096,0.005417416113832174,0.7034482758620689,0.701879711397763,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,0,natural,16,39,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.993103448275862,6.896551724137931,2.7586206896551726,0.6436686072548141,1,1.0,1,1.0,1.0,0.7310344827586207,0.3693528693528694,0.26424501424501423,0.3000992063492064,0.32969980211359523,0.5714285714285714,0.9724137931034482,0.6984126984126985,0.9777777777777779,0.5365384615384615,1.5331097187712663,0.43182113555505286,0.06456318104736536,0.169453084940708,,,,,,,,,,,,,
regression,example_selector_screen,,helpdesk,0,natural,16,39,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.25676068003790653,0.3120948183639451,0.23276714162160772,0.31539757987137346,-0.03038637221957874,-0.017528482080467533,-0.030386372219578517,-0.042481653318836354,0.5310344827586206,0.5557328772955927,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,0,natural,64,175,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,1.0,27.99310344827586,2.8620689655172415,0.7092203413925751,1,1.0,1,1.0,1.0,0.6758620689655173,0.35086691086691085,0.24267806267806266,0.3236659009732716,0.32606079683129885,0.42857142857142855,0.9793103448275862,0.8261904761904761,0.9638888888888889,0.43429599640125954,1.4807272580064461,0.4625953283414045,0.06594813130907227,0.18705846152110528,,,,,,,,,,,,,
regression,example_selector_screen,,helpdesk,0,natural,64,175,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.23898100312338832,0.28997993508857206,0.23185208228127507,0.29355752605586677,0.0409638703194346,0.05457307900452302,0.0409638703194346,0.10002343512940914,0.6827586206896552,0.6480923869486512,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,0,natural,128,329,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,1.0,54.351724137931036,2.9172413793103447,0.7129923540685036,1,1.0,1,1.0,1.0,0.6758620689655173,0.33180708180708185,0.22044159544159547,0.27989806803366124,0.30272108843537415,0.5714285714285714,1.0,0.9655067155067155,0.9655067155067155,0.35874349739895955,0.9661448498746952,0.4450002260658805,0.0706261812184803,0.1613963460207002,,,,,,,,,,,,,
regression,example_selector_screen,,helpdesk,0,natural,128,329,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.24232010496823791,0.3162339760476019,0.18816048382417705,0.2976591846145453,0.027563979666869187,-0.031023454079751378,0.027563979666869187,-0.0703168463932431,0.7034482758620689,0.6762014916230892,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,1,natural,1,3,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.7793103448275862,0.8551724137931035,1.6551724137931034,0.3972413793103448,1,1.0,1,1.0,1.0,0.5172413793103449,0.28937728937728935,0.17094017094017092,0.26030969262917253,0.22211340428902684,0.5714285714285714,0.8275862068965517,0.42857142857142855,1.0,0.6752136752136751,5.648475235969307,0.7917473209694188,0.34853357531509904,0.3471585279671665,,,,,,,,,,,,,
regression,example_selector_screen,,helpdesk,1,natural,1,3,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.2626832784755643,0.3209529046574901,0.23829152345018656,0.3226727328017655,-0.05415389268801851,-0.04640866390360143,-0.054153892688018734,-0.10249829108769215,0.09655172413793103,0.059615658069479056,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,helpdesk,1,natural,4,13,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.9862068965517241,1.7448275862068965,2.462068965517241,0.5484848484848485,1,1.0,1,1.0,1.0,0.7034482758620689,0.32484737484737486,0.21232193732193733,0.3513013901212659,0.3214334332932716,0.42857142857142855,0.9862068965517241,0.7142857142857143,1.0,0.45478632478632475,1.3953530474021005,0.4948441137613068,0.07131658848418132,0.1888030357781426,,,,,,,,,,,,,
