checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,50,50,79,3461,,4775.1962890625,4459.555,315.6412890624997,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,3461,0.8390638828277588,,0.855,-0.015936117172241193,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,200,166,166,3461,,4833.572265625,4592.9824,240.58986562500013,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,3.0,classification,100,100,439,3461,0.8636232018470764,,0.855,0.008623201847076434,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,3.0,regression,200,200,439,3461,,5039.21875,4477.5697,561.64905,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,5.0,classification,50,50,730,3461,0.8792256712913513,,0.88,-0.0007743287086486861,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,5.0,regression,200,200,730,3461,,4647.2177734375,4440.8163,206.4014734374996,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,10.0,classification,100,100,1434,3461,0.8792256712913513,,0.885,-0.0057743287086486905,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,10.0,regression,200,200,1434,3461,,4891.4169921875,4456.0001,435.4168921874998,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,20.0,classification,100,100,2740,3461,0.8818260431289673,,0.895,-0.013173956871032733,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,20.0,regression,200,200,2740,3461,,4752.94384765625,4402.3713,350.5725476562502,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,50.0,classification,200,200,6881,3461,0.8829817771911621,,0.89,-0.007018222808837904,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,50.0,regression,200,200,6881,3461,,4793.14453125,4301.9524,491.1921312499999,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,100.0,classification,200,200,13790,3461,0.8852932453155518,,0.9,-0.014706754684448264,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,roadtraffic_10000,100.0,regression,200,200,13790,3461,,4756.72265625,4287.3581,469.3645562499996,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,0.5,classification,20,20,71,2610,0.4203065037727356,,0.4458,-0.02549349622726438,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,0.5,regression,100,71,71,2610,,949.6776123046875,703.1954,246.48221230468755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,1.0,classification,20,20,225,2610,0.4609195291996002,,0.4663,-0.0053804708003997725,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,1.0,regression,200,200,225,2610,,1255.8475341796875,936.7253,319.12223417968755,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,3.0,classification,50,50,317,2610,0.5375478863716125,,0.5422,-0.0046521136283874664,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,3.0,regression,200,200,317,2610,,891.336669921875,788.3009,103.03576992187504,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,5.0,classification,50,50,498,2610,0.5180076360702515,,0.5496,-0.03159236392974851,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,5.0,regression,200,200,498,2610,,902.5202026367188,718.7791,183.74110263671878,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,10.0,classification,100,100,994,2610,0.5609195232391357,,0.5581,0.0028195232391357017,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,10.0,regression,200,200,994,2610,,887.1483764648438,727.6845,159.4638764648438,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,20.0,classification,200,200,2106,2610,0.5632184147834778,,0.5715,-0.008281585216522225,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,20.0,regression,200,200,2106,2610,,895.8151245117188,713.3536,182.46152451171872,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,50.0,classification,200,200,5100,2610,0.5839080214500427,,0.5927,-0.00879197854995728,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,50.0,regression,200,200,5100,2610,,878.552490234375,666.9328,211.61969023437496,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,100.0,classification,200,200,10504,2610,0.596168577671051,,0.598,-0.0018314223289489506,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/foundation_retrained_current/model_epoch_40.pth,40,sepsis,100.0,regression,200,200,10504,2610,,891.4970092773438,614.9354,276.5616092773438,False,best metric; smallest k on ties
