task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,prefix_attention_confirmation,main,billing,0,natural,32,118,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,19.528846153846153,2.639423076923077,0.6584032737456753,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.46990950226244343,0.9398190045248869,0.8,2.7437752172541177,0.24944174450924475,0.14631137905109687,0.19138894584299157,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,807.7996563146951,1679.5696196754598,392.20606418228454,0.6332934722364796,0.26170252506675595,0.20874290154196884,0.26170252506675606,0.28264301276814074,0.9038461538461539,2885.321615952712,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,0.8846153846153846,0.3911357466063349,0.3234841628959277,0.35488455809334657,0.37166857971846257,0.6,0.9519230769230769,0.5637254901960784,0.8053221288515406,0.6567948717948718,1.7844496172094155,0.25466047981750006,0.20799659490731104,0.06262994908408628,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1007.1337404317107,1792.1768837981733,584.8424556674831,0.789566099092321,0.07951892320298992,0.15569282488468061,0.07951892320299003,0.18322759868380978,0.9519230769230769,5171.927357600285,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,0.9182692307692307,0.475,0.41666666666666663,0.46628389154704947,0.46800919744844977,0.5,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.5714285714285714,1.2509892041498072,0.21299770310230168,0.21809277124270754,0.041744477301250305,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,926.7081315453088,1767.391376840508,478.4426764715871,0.7265145581437067,0.15302480241033045,0.1673694520928598,0.15302480241033056,0.20566303106981876,0.9326923076923077,3739.678631122296,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,1,3,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,0.75,1.7644230769230769,0.375,0.6971153846153846,0.2826923076923077,0.20299145299145296,0.22125,0.2441351981351981,0.7,0.7403846153846154,0.3,1.0,0.9423076923076924,7.414819581146892,0.5202515254360698,0.12408760189279755,0.3080312922015777,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,1,natural,1,3,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1189.1382148672888,2300.392181049243,431.03325473900077,0.9322527723000402,-0.08682608926627933,-0.08373098749206975,-0.08682608926627933,-0.3456839650353236,0.09615384615384616,81.16922229986925,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,2,6,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,1.5,1.7644230769230769,0.44999999999999996,0.7211538461538461,0.2923076923076923,0.2136752136752137,0.22592592592592592,0.2521804511278195,0.7,0.7403846153846154,0.3,1.0,0.9743589743589745,7.367617021805275,0.49053563816762413,0.20520528811984615,0.28958488703420204,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,1,natural,2,6,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1168.4111854523037,2285.3802718946963,404.5100875929129,0.9160033318295556,-0.06788239034250942,-0.07665877116903497,-0.0678823903425092,-0.3281779321230369,0.25,150.74837121596704,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,4,13,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.1490384615384617,2.610576923076923,0.5269001831501832,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3565689710890695,0.3686960157197207,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.0867809399478405,0.3037605626276221,0.26177128873468253,0.2685361895789879,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,1,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,2421.238972715456,3380.0953551764396,1223.6787663441082,1.8981870370441303,-1.212918272237279,-0.5923867709426487,-1.2129182722372787,-1.9053416924311501,0.8846153846153846,9589.24498807467,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,8,27,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.543269230769231,2.610576923076923,0.6066451930422517,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35581770348695985,0.3684737534857577,0.6,0.9038461538461539,0.3911764705882353,0.9779411764705882,0.9838709677419355,3.0090356797402933,0.2669859713337446,0.20850333891749295,0.27328443468542507,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,1,natural,8,27,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1275.9209027116738,1926.4486256073437,702.7131905347428,1.0002880942828645,-0.16614209144896552,0.09243645993009231,-0.1661420914489653,0.05625606108858783,0.9855769230769231,7767.968927236704,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,16,61,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,8.0625,2.875,0.6600627505249093,0.8701923076923077,0.5228506787330317,0.46983408748114636,0.474860294117647,0.4860722394220846,0.4,0.9711538461538461,0.721681749622926,0.9021021870286576,0.7300210949764522,1.4735502608179787,0.302795132384812,0.28117904620566586,0.12814449556712226,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,1,natural,16,61,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,952.1479251377843,1634.469333975857,489.5150634747697,0.7464586805399186,0.12977382028211992,0.2299899643515423,0.12977382028211992,0.32065111747284314,0.9711538461538461,5657.859215369592,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,32,126,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,16.16826923076923,2.894230769230769,0.6916607489043199,0.8894230769230769,0.5074660633484163,0.4527400703871292,0.4805059886793632,0.47932076807182267,0.4,0.9807692307692307,0.9,1.0,0.5638511814982403,1.1248762799180834,0.25931663689906403,0.25320550854311275,0.05045025579356951,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,1,natural,32,126,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,841.7398110588185,1665.15055506261,373.4757327761067,0.6599016519727877,0.23068254337878646,0.21553582461844534,0.23068254337878646,0.2949071270730902,0.9711538461538461,5381.577378493089,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,34.04807692307692,2.923076923076923,0.7048842247326375,0.9038461538461539,0.6617993966817497,0.6242215518686108,0.6508147512864493,0.6270233437528032,0.2,0.9807692307692307,0.8637254901960784,0.9596949891067538,0.7568220668220669,1.0617412202455574,0.22719711046839397,0.22060203638549986,0.026178518336824348,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,1,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,826.3764525707022,1764.139969277824,315.09242705852876,0.6478571870289173,0.24472405563941035,0.16890121313676987,0.24472405563941035,0.2085829701378793,0.9375,3435.4553944514346,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,128,500,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,69.35576923076923,2.9423076923076925,0.7150523705964731,0.9134615384615384,0.6646274509803921,0.6273638344226579,0.659069825614637,0.6349455997228433,0.2,0.9807692307692307,0.8166666666666668,0.9074074074074073,0.8125490196078431,0.9734586415783526,0.19603007954428708,0.1916833253410136,0.022821134069716472,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,1,natural,128,500,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,834.7002749723482,1767.065796697874,383.9560128136868,0.6543828426785708,0.23711640563252057,0.1675228351952679,0.23711640563252068,0.2059556618092787,0.9086538461538461,3609.6521280728853,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,2,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8605769230769231,0.3776018099547511,0.30844645550527905,0.3493520692890496,0.36079972311178043,0.6,0.9038461538461539,0.4,1.0,0.9440045248868778,3.1443329426829476,0.3147524353128105,0.24073403011630232,0.23920142468783967,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,2,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1305.4712954968195,1774.4741811091792,1244.038294625197,1.0234548172525588,-0.19315000140041438,0.16403269302736911,-0.19315000140041416,0.19928367821545634,0.1346153846153846,820.0942585284894,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,2,natural,2,7,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.1971153846153846,2.610576923076923,0.48124999999999996,0.8653846153846154,0.37952488687782804,0.3105832076420312,0.3524929620097743,0.36340504239385824,0.6,0.9038461538461539,0.4,1.0,0.9488122171945701,3.100049561231238,0.3011189607121617,0.22975429893928292,0.25736666658778307,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,2,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,899.5948250319586,1770.6393053317122,453.4268061270094,0.7052584460725693,0.17780531027439817,0.16583933006407126,0.17780531027439828,0.20274084836738782,0.8028846153846154,1872.9341242863582,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,2,natural,4,13,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.9038461538461537,2.610576923076923,0.5210622710622709,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3568130738573302,0.3688684313205143,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.099627634387706,0.3100946191084513,0.2662349247126257,0.24426701034619588,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,2,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,947.4014527931527,1841.7251458725682,492.19326172642286,0.7427375723065732,0.13411191144059997,0.13235028902111856,0.13411191144060008,0.13744072906740712,0.8317307692307693,2006.2796798119177,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,2,natural,8,35,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9326923076923077,4.480769230769231,2.730769230769231,0.6185897435897437,0.875,0.38540723981900454,0.31711915535444946,0.3502310128954865,0.36617438613466413,0.6,0.9326923076923077,0.4833333333333333,0.9666666666666666,0.770814479638009,2.260961642269055,0.24214337234888228,0.16351910919732324,0.0788672624279601,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,2,natural,8,35,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,940.3827065757218,1746.9421640394912,572.8105050480531,0.7372350617174231,0.14052677256243706,0.17700322052801998,0.14052677256243706,0.22393809410861099,0.9278846153846154,3219.4957897479717,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,2,natural,16,64,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,7.951923076923077,2.8173076923076925,0.6667753665432711,0.8653846153846154,0.4746199095022624,0.4162443438914027,0.48087708516242317,0.46343334944134484,0.4,0.9615384615384616,0.525,0.75,0.820885585003232,1.5773533183649406,0.2518921897336206,0.23365916007146986,0.09052289904866748,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,2,natural,16,64,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,882.7036927715727,1728.023754806832,495.0840041793066,0.6920162470748785,0.1932431483560576,0.18591581660115453,0.1932431483560576,0.2406557151799309,0.9182692307692307,2949.8848513089692,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,2,natural,32,127,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,16.153846153846153,2.9038461538461537,0.684445285207259,0.8557692307692307,0.5148914027149322,0.46099044746103573,0.46016750043125754,0.48041700393341813,0.4,0.9807692307692307,0.7098793363499246,0.7887548181665829,0.6344939591998416,1.1313112949523858,0.25410322678117875,0.23354165555025969,0.04966432775042418,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,2,natural,32,127,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,872.3280183169499,1628.620653248392,503.36760756635886,0.6838819939208964,0.20272611135399332,0.23274531910909946,0.20272611135399343,0.32550429610633347,0.9519230769230769,4188.333983201247,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,2,natural,64,251,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,33.09615384615385,2.923076923076923,0.7003139614676783,0.8798076923076923,0.6511659125188537,0.612406569465393,0.6247426470588235,0.6010993873312435,0.2,0.9807692307692307,0.8050150829562595,0.8944612032847326,0.8096704793028322,1.0806263034696821,0.22866155894492762,0.18293595212315933,0.05780458538957749,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,2,natural,64,251,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,860.7283794297637,1721.369741904581,496.7326613512191,0.674788185165061,0.2133277302499671,0.1890505690284786,0.2133277302499672,0.24649239259022915,0.9375,3848.1845127986026,learned_transform_ensemble,4,dynamic
