task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,08_gamma0,main,billing,0,natural,16,59,configured,natural,1.0,20,208,0.7692307692307693,0.32986425339366515,0.25540472599296127,0.3230061643425699,0.31719768744383764,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.6885897435897437,3.784419691471742,0.3766853706613139,0.025678075563449095,0.08350713432126108,,,,,,,,
classification,08_gamma0,main,billing,0,natural,16,59,configured,natural,1.0,50,208,0.6826923076923077,0.27692307692307694,0.19658119658119658,0.21372518839185503,0.23810916824251457,0.7,0.9134615384615384,0.5,1.0,0.5538461538461539,3.2882770941344694,0.5861546715133741,0.23116695737609494,0.24983955871456717,,,,,,,,
regression,08_gamma0,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,876.4647526123556,397.36020628383403,0.687125083720673,0.19894529706310682,0.19894529706310682,0.2254352070192699,0.9423076923076923,4013.2239968168983
classification,08_gamma0,main,billing,0,natural,32,118,configured,balanced,1.0,5,208,0.8317307692307693,0.3660633484162896,0.2956259426847663,0.34011311060747856,0.349635480571904,0.6,0.9134615384615384,0.41798642533936653,0.8359728506787331,0.7957446808510638,4.410292449886663,0.33091718493819156,0.16797105222940442,0.15948735443257303,,,,,,,,
classification,08_gamma0,main,billing,0,natural,32,118,configured,balanced,1.0,20,208,0.8173076923076923,0.35927601809954746,0.28808446455505277,0.33550035803795203,0.3436136085658255,0.6,0.9134615384615384,0.41798642533936653,0.8359728506787331,0.7805147957935926,4.428956916327998,0.33404016120457053,0.1543096851270932,0.15692680197618195,,,,,,,,
classification,08_gamma0,main,billing,0,natural,32,118,configured,balanced,1.0,50,208,0.7884615384615384,0.3416289592760181,0.2684766214177979,0.32454771544245226,0.32807967631497037,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7152564102564103,3.872097409806256,0.40937825037907427,0.13745977743886986,0.12601031479238964,,,,,,,,
classification,08_gamma0,main,billing,0,natural,32,118,configured,natural,1.0,5,208,0.8317307692307693,0.3660633484162896,0.2956259426847663,0.34011311060747856,0.349635480571904,0.6,0.9134615384615384,0.41798642533936653,0.8359728506787331,0.7957446808510638,4.406591146489549,0.3274526316513719,0.16165594355418142,0.15948735443257303,,,,,,,,
classification,08_gamma0,main,billing,0,natural,32,118,configured,natural,1.0,20,208,0.8173076923076923,0.35927601809954746,0.28808446455505277,0.33550035803795203,0.3436136085658255,0.6,0.9134615384615384,0.41798642533936653,0.8359728506787331,0.7805147957935926,4.428904639922827,0.3392053157136162,0.16446775885728696,0.15638576707193208,,,,,,,,
classification,08_gamma0,main,billing,0,natural,32,118,configured,natural,1.0,50,208,0.6826923076923077,0.27692307692307694,0.19658119658119658,0.21457959714100064,0.23873409012727898,0.7,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.5685897435897436,3.9066150194179317,0.43287093475115246,0.15360795778150743,0.12717179697117187,,,,,,,,
regression,08_gamma0,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,835.5343900323816,414.18655460391165,0.6550367667282828,0.23635405690185152,0.23635405690185163,0.26530515879861205,0.9134615384615384,3707.02654047386
classification,08_gamma0,main,billing,0,natural,64,255,configured,balanced,1.0,5,208,0.8461538461538461,0.3736380090497738,0.3040422322775264,0.3400166912643193,0.35525586134901027,0.6,0.9519230769230769,0.40293815987933634,0.5756259426847663,0.7738970588235293,3.424340463109732,0.2719217701985396,0.10880074893625881,0.07993855932901843,,,,,,,,
classification,08_gamma0,main,billing,0,natural,64,255,configured,balanced,1.0,20,208,0.8317307692307693,0.3659864253393665,0.29554047259929606,0.33893628172532225,0.3494476379722281,0.6,0.9519230769230769,0.5451357466063349,0.7787653522947641,0.6171760592348827,2.5139715538841165,0.27276811870783213,0.08065748014129126,0.058692885551466616,,,,,,,,
classification,08_gamma0,main,billing,0,natural,64,255,configured,balanced,1.0,50,208,0.8173076923076923,0.35927601809954746,0.28808446455505277,0.33550035803795203,0.3436136085658255,0.6,0.9519230769230769,0.6303921568627451,0.9005602240896359,0.5168165168165169,2.1120327686293106,0.27836632443647136,0.08926316408010629,0.03478660530735774,,,,,,,,
classification,08_gamma0,main,billing,0,natural,64,255,configured,natural,1.0,5,208,0.8413461538461539,0.37069683257918556,0.3007742584213173,0.33695390436876504,0.3523156501290362,0.6,0.9519230769230769,0.40293815987933634,0.5756259426847663,0.7676470588235293,3.40020837948809,0.2647670262977974,0.1095670690903296,0.08042337624281785,,,,,,,,
classification,08_gamma0,main,billing,0,natural,64,255,configured,natural,1.0,20,208,0.8317307692307693,0.3659864253393665,0.29554047259929606,0.33893628172532225,0.3494476379722281,0.6,0.9519230769230769,0.5451357466063349,0.7787653522947641,0.6171760592348827,2.531163443095749,0.2783973234874333,0.11546185755958921,0.05759669485567012,,,,,,,,
classification,08_gamma0,main,billing,0,natural,64,255,configured,natural,1.0,50,208,0.8125,0.35633484162895923,0.2848164906988436,0.33348520652280056,0.34124728163271617,0.6,0.9519230769230769,0.6303921568627451,0.9005602240896359,0.5124875124875125,2.1705700704129227,0.28489861020437196,0.09915513889147687,0.033687568801637036,,,,,,,,
