task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,02_count_neutral,main,billing,0,natural,2,7,configured,natural,1.0,20,208,0.8221153846153846,0.36119909502262443,0.2902212166918049,0.341475594298175,0.34727861901877655,0.6,0.9038461538461539,0.4,1.0,0.9029977375565611,3.483458398158655,0.5707164845204417,0.3780931791720482,0.27889747165715995,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,2,7,configured,natural,1.0,50,208,0.8221153846153846,0.36119909502262443,0.2902212166918049,0.341475594298175,0.34727861901877655,0.6,0.9038461538461539,0.4,1.0,0.9029977375565611,3.483458398158655,0.5707164845204417,0.3780931791720482,0.27889747165715995,,,,,,,,
regression,02_count_neutral,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,955.6267062901945,442.8682237155749,0.7491859525533923,0.1265943495797095,0.1265943495797095,0.05694680136797636,0.8173076923076923,2143.4493272394875
classification,02_count_neutral,main,billing,0,natural,4,15,configured,balanced,1.0,5,208,0.7403846153846154,0.3562217194570136,0.28469079939668174,0.3504564564564564,0.31153638082723295,0.5,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7337820512820513,4.0253103092151665,0.5568356413946687,0.20582007917647183,0.1484502437435543,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,4,15,configured,balanced,1.0,20,208,0.7307692307692307,0.353393665158371,0.2815485168426345,0.3408119571939448,0.309829266391206,0.5,0.9134615384615384,0.5,1.0,0.706787330316742,3.400025156570611,0.6493827650955557,0.4091317630731143,0.4932576804021681,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,4,15,configured,balanced,1.0,50,208,0.7307692307692307,0.353393665158371,0.2815485168426345,0.3408119571939448,0.309829266391206,0.5,0.9134615384615384,0.5,1.0,0.706787330316742,3.400025156570611,0.6493827650955557,0.4091317630731143,0.4932576804021681,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,4,15,configured,natural,1.0,5,208,0.7211538461538461,0.34445701357466063,0.2716189039718451,0.34587990579017325,0.2885250901598676,0.5,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7071153846153846,4.002204058314833,0.5292535893115718,0.2451384998857975,0.09454672235387257,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,4,15,configured,natural,1.0,20,208,0.7403846153846154,0.35927601809954746,0.28808446455505277,0.3474792826221398,0.31694234087000944,0.5,0.9134615384615384,0.5,1.0,0.718552036199095,3.3281483526070637,0.6049618852816454,0.3549333611646524,0.3243629547225192,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,4,15,configured,natural,1.0,50,208,0.7403846153846154,0.35927601809954746,0.28808446455505277,0.3474792826221398,0.31694234087000944,0.5,0.9134615384615384,0.5,1.0,0.718552036199095,3.3281483526070637,0.6049618852816454,0.3549333611646524,0.3243629547225192,,,,,,,,
regression,02_count_neutral,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,894.3334769431387,307.9349855801006,0.7011336889328912,0.1826139778423469,0.1826139778423469,0.09507422489943507,0.8653846153846154,1948.8906366694662
classification,02_count_neutral,main,billing,0,natural,8,28,configured,balanced,1.0,5,208,0.7548076923076923,0.3650452488687783,0.29449472096530926,0.3532112845138055,0.32283338000325995,0.5,0.9134615384615384,0.46990950226244343,0.9398190045248869,0.7716954022988506,4.294922603429973,0.3878401475718267,0.15978376166178634,0.1662983761803469,,,,,,,,
