task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,training_debug_target_screen,main,billing,1,natural,1,3,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,0.75,1.7644230769230769,0.375,1,1.0,1,1.0,1.0,0.7019230769230769,0.2846153846153846,0.2051282051282051,0.22276639023626976,0.2458512685914261,0.7,0.7403846153846154,0.3,1.0,0.9487179487179488,7.285064425721948,0.5470623145096783,0.21391862257562924,0.5295078274458094,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,1,natural,1,3,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1184.944645272559,2295.89070537107,424.4156800047567,0.9289651251353611,-0.0829933297218266,-0.08161031053878043,-0.0829933297218266,-0.3404225692795635,0.1778846153846154,75.2553392465298,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,1,natural,4,13,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.1490384615384617,2.610576923076923,0.5269001831501832,1,1.0,1,1.0,1.0,0.8509615384615384,0.36764705882352944,0.29738562091503273,0.3461712082168248,0.3527356783421333,0.6,0.9038461538461539,0.4,1.0,0.9191176470588236,3.1625158944104865,0.2779200957866591,0.09022096752411576,0.2790177311788006,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,1,natural,4,13,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,3657.123561437768,4935.788177702387,2766.3676272954253,2.8670877246802218,-2.3424687294946285,-1.3252846362194215,-2.342468729494628,-5.195157311404694,0.7451923076923077,8876.534111609826,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,1,natural,16,61,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,8.0625,2.875,0.6600627505249093,1,1.0,1,1.0,1.0,0.8798076923076923,0.5036199095022624,0.44846656611362495,0.4775466336941747,0.4779634522171835,0.4,0.9711538461538461,0.7,0.875,0.692024886877828,1.471753322635903,0.2216647058958573,0.08244945718038332,0.15616456630606407,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,1,natural,16,61,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1138.3971746232799,1832.6712173032047,576.4296507155159,0.8924731446289672,-0.040450751526541984,0.1366156586524323,-0.04045075152654176,0.14590057352674468,0.9519230769230769,4938.759729532095,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,1,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,34.04807692307692,2.923076923076923,0.7048842247326375,1,1.0,1,1.0,1.0,0.8798076923076923,0.636422322775264,0.5960248030836267,0.6428531468531469,0.5930797692211213,0.2,0.9807692307692307,0.823076923076923,0.9145299145299144,0.7276654935478466,0.9205404348764149,0.18429160496259117,0.04923335698983956,0.049800377324019394,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,1,natural,64,255,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,824.8992886870566,1820.0147924907872,293.08325605560094,0.6466991297833818,0.24607412599018708,0.1425781896821735,0.2460741259901872,0.15765665796142636,0.8269230769230769,2180.780349584726,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,1,natural,128,500,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9807692307692307,69.35576923076923,2.9423076923076925,0.7150523705964731,1,1.0,1,1.0,1.0,0.9038461538461539,0.6617993966817497,0.6242215518686108,0.6449551780073423,0.6218602452183263,0.2,0.9807692307692307,0.7333333333333333,0.8148148148148148,0.8649622926093515,0.8228508943274518,0.15500583686000993,0.05151653160597261,0.04455844373026784,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,1,natural,128,500,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,833.591407844393,1818.3701529532977,323.3012327332999,0.6535135203060961,0.23812986706965555,0.14335299097245569,0.23812986706965567,0.15917832167568413,0.8557692307692307,2654.239140914037,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,helpdesk,0,natural,1,2,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.7793103448275862,0.7793103448275862,1.793103448275862,0.3896551724137931,1,1.0,1,1.0,1.0,0.6620689655172414,0.2692307692307692,0.1474358974358974,0.1986863711001642,0.22682806136043546,0.7142857142857143,0.7034482758620689,0.2857142857142857,1.0,0.9423076923076923,8.336745040693586,0.6288835102824906,0.26264153086230557,0.4547779584286706,,,,,,,,,,,,,
regression,training_debug_target_screen,,helpdesk,0,natural,1,2,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.40445048382601306,0.4842809860288056,0.40097294834754393,0.4968155706617463,-0.6230688698534919,-0.5789102145223253,-0.6230688698534919,-1.5100948927728628,0.0,0.0003604412078857422,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,helpdesk,0,natural,4,9,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.7862068965517242,2.1655172413793102,1.903448275862069,0.49012091356918935,1,1.0,1,1.0,1.0,0.6689655172413793,0.27175824175824176,0.1503846153846154,0.20795508838987103,0.23167600373482727,0.7142857142857143,0.7103448275862069,0.42857142857142855,1.0,0.634102564102564,8.275574361551122,0.6058187134142795,0.08179178995337455,0.2533184394825886,,,,,,,,,,,,,
regression,training_debug_target_screen,,helpdesk,0,natural,4,9,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.26215680925175755,0.31284675373814674,0.24856436875201382,0.3220260328512868,-0.0520411598758006,-0.0199800308243554,-0.052041159875800824,-0.04751104241620996,0.6827586206896552,0.702908288199326,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,helpdesk,0,natural,16,39,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,0.993103448275862,6.896551724137931,2.7586206896551726,0.6436686072548141,1,1.0,1,1.0,1.0,0.696551724137931,0.35042735042735046,0.24216524216524218,0.2828705252592841,0.3115971413429797,0.5714285714285714,0.9724137931034482,0.7063492063492064,0.9888888888888889,0.4990950226244344,1.5615418896636803,0.4493145480738484,0.07618303039371817,0.17294313845666429,,,,,,,,,,,,,
regression,training_debug_target_screen,,helpdesk,0,natural,16,39,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.26503981256930925,0.3159586191210014,0.25004276897038835,0.3255674328389434,-0.06361071690077247,-0.03012570282254412,-0.06361071690077247,-0.06845372688018592,0.4827586206896552,0.5024080484077849,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,helpdesk,0,natural,64,175,fm_structured_mix,balanced,1.0,20,145,3,0.5,0.75,0.5,1.0,27.99310344827586,2.8620689655172415,0.7092203413925751,1,1.0,1,1.0,1.0,0.7034482758620689,0.3626495726495726,0.25642450142450135,0.33915343915343915,0.3309330421131663,0.42857142857142855,0.9793103448275862,0.8226495726495726,0.9597578347578347,0.45061157796451906,1.4621951614657567,0.4564878653104315,0.06354282412866345,0.18949046034053035,,,,,,,,,,,,,
regression,training_debug_target_screen,,helpdesk,0,natural,64,175,,,,20,145,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,0.22951931638360992,0.27719323527836764,0.22398532254214842,0.2819350568413959,0.07893383158234701,0.09626179180309147,0.07893383158234701,0.1776426869637462,0.6551724137931034,0.6120176541394201,learned_transform_ensemble,4,dynamic
