task,experiment,log,repetition,support_scenario,case_budget,support_prefixes,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,nll,macro_retrieval_given_pool,macro_decision_given_retrieval,multiclass_brier,ece_10,aurc
classification,baseline_gaussian_nb,billing,0,natural,128,514,208,0.3605769230769231,0.25081900452488687,0.16757667169431872,0.2493137254901961,0.18941663079351412,0.6,0.9711538461538461,14.441026667055484,1.0,0.31352375565610857,0.8856657271191335,0.5767275234246689,0.7760551277377548
classification,baseline_tabpfn,billing,0,natural,128,514,208,0.9038461538461539,0.4,0.33333333333333337,0.3596298518224348,0.37830485304169514,0.6,0.9711538461538461,1.0635550959040816,1.0,0.5,0.14668988023025953,0.04313743108362683,0.018759061823654603
classification,baseline_lstm_natural_ce,billing,0,class_aware,1,21,208,0.1778846153846154,0.10576923076923077,0.006410256410256403,0.12297297297297298,0.04827172827172827,0.8,0.9615384615384616,2.512394476499268,1.0,0.1510989010989011,0.8722392337698928,0.08783029266991296,0.8004481164874502
classification,baseline_lstm_logit_adjustment,billing,0,class_aware,1,21,208,0.009615384615384616,0.1,0.0,0.00392156862745098,0.007547169811320755,0.9,0.9615384615384616,3.0701354708346282,1.0,0.0,0.9321518060782401,0.07510842232396411,0.9831495637777794
classification,baseline_lstm_class_weighted_ce,billing,0,class_aware,1,21,208,0.3942307692307692,0.196,0.10666666666666666,0.13028785982478097,0.14817450495049506,0.8,0.9615384615384616,2.541647641210815,1.0,0.27999999999999997,0.8752910292258136,0.30002908494610053,0.7613964305413174
classification,baseline_lstm_balanced_softmax,billing,0,class_aware,1,21,208,0.39903846153846156,0.21266666666666664,0.12518518518518515,0.14987361522858483,0.16945065935164944,0.7,0.9615384615384616,2.545007394479765,1.0,0.3038095238095238,0.8761928683525633,0.30926755063522327,0.7210141678237565
classification,baseline_weighted_logistic,billing,0,class_aware,1,21,208,0.3942307692307692,0.1817239819004525,0.0908044243338361,0.3198032575391066,0.20426150121065376,0.6,0.9615384615384616,3.989699750178048,1.0,0.25960568842921783,0.7036999085599162,0.05148886209950902,0.46223299523827444
classification,baseline_random_forest,billing,0,class_aware,1,21,208,0.42788461538461536,0.319340874811463,0.24371208312384776,0.36018184196755626,0.2715319444731209,0.4,0.9615384615384616,2.603572978094819,1.0,0.4562012497306615,0.7249650240384616,0.16290865384615383,0.5127892651389244
classification,baseline_gaussian_nb,billing,0,class_aware,1,21,208,0.6490384615384616,0.31266666666666665,0.23629629629629625,0.2731589950929573,0.2858647567685818,0.6,0.9615384615384616,9.697425680109538,1.0,0.44666666666666666,0.677836016431027,0.3509371716306754,0.3368657156886166
classification,baseline_tabpfn,billing,0,class_aware,1,21,208,0.3942307692307692,0.19230769230769232,0.10256410256410256,0.17891156462585034,0.18452318916102137,0.8,0.9615384615384616,2.6183156798729317,1.0,0.27472527472527475,0.6715096504705514,0.30719610174688006,0.284812838561672
classification,baseline_lstm_natural_ce,billing,0,class_aware,2,53,208,0.39903846153846156,0.35923529411764704,0.28803921568627444,0.2063434223246821,0.23947460374742943,0.6,0.9903846153846154,2.478066371795324,1.0,0.3991503267973856,0.872362129463096,0.30695139573743707,0.44578116758403474
classification,baseline_lstm_logit_adjustment,billing,0,class_aware,2,53,208,0.009615384615384616,0.1,0.0,0.000975609756097561,0.001932367149758454,0.9,0.9903846153846154,3.268880977041486,1.0,0.0,0.9492189829213106,0.12404650568427694,0.9808212864324771
classification,baseline_lstm_class_weighted_ce,billing,0,class_aware,2,53,208,0.28846153846153844,0.304,0.22666666666666666,0.22566037735849057,0.1541083477925583,0.6,0.9903846153846154,2.550001714222416,1.0,0.3377777777777778,0.8804238298714719,0.21511318785353348,0.7592526249520125
classification,baseline_lstm_balanced_softmax,billing,0,class_aware,2,53,208,0.5576923076923077,0.4478099547511313,0.38645550527903477,0.466774628879892,0.3882136407239448,0.4,0.9903846153846154,2.5207593009891314,1.0,0.49756661639014577,0.8755711621819994,0.4735571652507553,0.3711347357275301
classification,baseline_weighted_logistic,billing,0,class_aware,2,53,208,0.6490384615384616,0.3567843137254902,0.2853159041394335,0.4797330447330447,0.3633449563443739,0.4,0.9903846153846154,1.874324875128796,1.0,0.3964270152505447,0.5981172008591507,0.3774968100597185,0.14992690223070812
classification,baseline_random_forest,billing,0,class_aware,2,53,208,0.5528846153846154,0.2804253393665158,0.20047259929612868,0.3215735564644318,0.2668283884696018,0.5,0.9903846153846154,1.7148532918810657,1.0,0.3115837104072398,0.6024449519230769,0.1420432692307692,0.31441804737169377
classification,baseline_gaussian_nb,billing,0,class_aware,2,53,208,0.5432692307692307,0.3184358974358974,0.24270655270655264,0.3124024934983839,0.2939731957540177,0.4,0.9903846153846154,4.7655511978054825,1.0,0.3538176638176638,0.7529850390281555,0.406331561866066,0.24055100370061236
classification,baseline_tabpfn,billing,0,class_aware,2,53,208,0.7019230769230769,0.41523076923076924,0.35025641025641024,0.36416666666666664,0.3469926429600037,0.5,0.9903846153846154,1.6268065325228902,1.0,0.4613675213675214,0.6076348146537616,0.3753272549661735,0.23433008342518197
classification,baseline_lstm_natural_ce,billing,0,class_aware,4,72,208,0.4855769230769231,0.24407692307692308,0.16008547008547008,0.13562325463315564,0.16324171952078928,0.7,1.0,2.300945343500145,1.0,0.24407692307692308,0.8382551274241793,0.3992612009079984,0.32879156902737666
classification,baseline_lstm_logit_adjustment,billing,0,class_aware,4,72,208,0.0,0.0,-0.11111111111111112,0.0,0.0,1.0,1.0,3.016331296204264,1.0,0.0,0.917179187989897,0.14763168269144558,1.0
classification,baseline_lstm_class_weighted_ce,billing,0,class_aware,4,72,208,0.04326923076923077,0.0782051282051282,-0.024216524216524222,0.20302028218694884,0.08836122874235396,0.6,1.0,2.5332649399689635,1.0,0.0782051282051282,0.8725790031221126,0.0553179900878324,0.9706148036171065
classification,baseline_lstm_balanced_softmax,billing,0,class_aware,4,72,208,0.30288461538461536,0.23661538461538462,0.15179487179487178,0.2964935064935065,0.2316003311330414,0.5,1.0,2.429230093185881,1.0,0.23661538461538462,0.8560816531321256,0.23500975464972162,0.3679983809845217
classification,baseline_weighted_logistic,billing,0,class_aware,4,72,208,0.8365384615384616,0.6044072398190046,0.5604524886877829,0.6310077519379844,0.5998777145042489,0.3,1.0,1.5117214929135918,1.0,0.6044072398190046,0.4969407557617109,0.46950617641317866,0.13656013675030348
classification,baseline_random_forest,billing,0,class_aware,4,72,208,0.8028846153846154,0.4403815987933635,0.37820177643707054,0.5393375680580762,0.45524761360855026,0.4,1.0,1.1385669634615625,1.0,0.4403815987933635,0.3028457932692307,0.1923317307692308,0.07922153079292983
classification,baseline_gaussian_nb,billing,0,class_aware,4,72,208,0.6730769230769231,0.30753846153846154,0.2305982905982906,0.336475780646585,0.3051545945094333,0.6,1.0,8.041605208211514,1.0,0.30753846153846154,0.42386310409771705,0.32284138278271657,0.27067445365451576
classification,baseline_tabpfn,billing,0,class_aware,4,72,208,0.9086538461538461,0.5671538461538461,0.5190598290598291,0.5217974180734857,0.5336318577275146,0.4,1.0,0.8851049596574179,1.0,0.5671538461538461,0.33453446454457136,0.3641096381884518,0.06349331775527657
classification,baseline_lstm_natural_ce,billing,0,class_aware,8,113,208,0.7836538461538461,0.46308144796380085,0.4034238310708898,0.4962140391254316,0.43783377180604266,0.4,1.0,1.8180322494563124,1.0,0.46308144796380085,0.7169086313686867,0.5892469173010726,0.12002079790883967
classification,baseline_lstm_logit_adjustment,billing,0,class_aware,8,113,208,0.4423076923076923,0.3690769230769231,0.298974358974359,0.42745098039215684,0.34024042342314725,0.5,1.0,2.4631775165914203,1.0,0.3690769230769231,0.8371900908970638,0.31151432018211905,0.34645136072903066
classification,baseline_lstm_class_weighted_ce,billing,0,class_aware,8,113,208,0.6634615384615384,0.4851402714932126,0.42793363499245846,0.5581818004979769,0.4564142757492281,0.3,1.0,2.331031980018258,1.0,0.4851402714932126,0.8360615512353784,0.5536597932402331,0.32386691685823255
classification,baseline_lstm_balanced_softmax,billing,0,class_aware,8,113,208,0.9038461538461539,0.5562941176470588,0.5069934640522876,0.5329530423280422,0.5367412461752085,0.4,1.0,2.0170046346346733,1.0,0.5562941176470588,0.7644040361847281,0.7558924303605007,0.0806480519651234
classification,baseline_weighted_logistic,billing,0,class_aware,8,113,208,0.8894230769230769,0.6706606334841629,0.6340673705379588,0.6537542331881955,0.6385700280112044,0.2,1.0,1.275957196635266,1.0,0.6706606334841629,0.42791047685138095,0.465745458787572,0.10707030552226757
classification,baseline_random_forest,billing,0,class_aware,8,113,208,0.7836538461538461,0.5227345399698341,0.4697050444109268,0.6100384949034916,0.5165376984126984,0.2,1.0,1.0341038207439064,1.0,0.5227345399698341,0.2647582932692308,0.11435096153846153,0.07552905818783011
classification,baseline_gaussian_nb,billing,0,class_aware,8,113,208,0.5432692307692307,0.41636199095022625,0.35151332327802914,0.3612177827105685,0.2876107348603104,0.4,1.0,10.457857625545447,1.0,0.41636199095022625,0.687493989219017,0.4549164266037933,0.43944350238705887
classification,baseline_tabpfn,billing,0,class_aware,8,113,208,0.9134615384615384,0.6216410256410256,0.5796011396011396,0.6236792452830189,0.5968100611013233,0.3,1.0,0.6948978535003486,1.0,0.6216410256410256,0.2465778820674573,0.2381383547188726,0.056746408400817724
classification,baseline_lstm_natural_ce,billing,0,class_aware,16,226,208,0.9278846153846154,0.6126666666666667,0.5696296296296297,0.6131832355583743,0.569285093922926,0.3,1.0,0.9687333120212063,1.0,0.6126666666666667,0.39825033369310325,0.4881009653640481,0.0828262605752868
classification,baseline_lstm_logit_adjustment,billing,0,class_aware,16,226,208,0.8413461538461539,0.6325384615384616,0.5917094017094018,0.6317045388165197,0.6171129970139871,0.3,1.0,1.4436757449758653,1.0,0.6325384615384616,0.5860469653943059,0.5715948529689553,0.10665789175084293
